Date,Open,High,Low,Close,Volume
19-Jan-14,450.05,452.25,441.25,449.45,352052101.8
19-Jan-14,200,207.7,199.8,204.65,15232375.85
19-Jan-14,374.95,379,368,369.45,20743356.5
19-Jan-14,368.6,368.65,356.15,363.5,3636220.4
19-Jan-14,98.9,98.9,93.6,97,2899692.65
19-Jan-14,98.4,100,94.7,96.45,41055096.85
19-Jan-14,140,142,177.45,178.7,19284532.8
19-Jan-14,33.65,34.65,33.1,33.55,10453435.95
19-Jan-14,230,231,225,227.8,19982640.8
19-Jan-14,120.8,121.5,114.7,121.05,1176859654
19-Jan-14,304.85,306.85,280.15,285.25,17210176.45
19-Jan-14,1143.1,1195,1177.9,1149.9,858491571
19-Jan-14,588.95,589.3,576.9,583.05,38766571.6
19-Jan-14,501,529,501,514.7,4143624.4
19-Jan-14,5.3,5.4,5.1,5.2,1171279.95
19-Jan-14,584.95,584.95,565,568.9,11412028.15
19-Jan-14,835,841,835,837.5,13989314.7
19-Jan-14,115.7,117.4,115.55,116.55,22776566.7
19-Jan-14,1119.25,1139.35,1111,1114.65,5354194.2
19-Jan-14,149.2,150.85,140.2,145.6,125097369.6
19-Jan-14,713.8,720.95,678.4,687.5,13569617.2
19-Jan-14,115.65,116.3,113.15,115.25,69733488.4
19-Jan-14,200.75,212,200.75,206.45,982551.45
19-Jan-14,2945,2980,2830.1,2892.95,126338068.1
19-Jan-14,464,464,435,439.9,44031537
19-Jan-14,714.65,741.1,705,720.4,315731784.4
19-Jan-14,231.5,235.05,222.3,227,11475125.8
19-Jan-14,640.2,647.5,633,643.2,2197626849
19-Jan-14,77,78.5,74.1,76.45,2065045.4
19-Jan-14,1670,1723.95,1670,1707.65,26786726.15
19-Jan-14,100,100,96.25,98.85,1950879.65
19-Jan-14,69.55,72.9,69.5,71.9,781916.15
19-Jan-14,796.65,796.65,760.05,772.6,14968438.75
19-Jan-14,2405,2473.9,2401,2454.9,145729494.6
19-Jan-14,50,52.9,49.65,50.35,10005988.15
19-Jan-14,584.9,594,581.2,590.25,2286703028
19-Jan-14,196.8,202.7,190.05,195.75,65553483.95
19-Jan-14,2640,2654,2626,2629.2,708412.2
19-Jan-14,1082.02,1091.12,1082.02,1090.09,228373.76
19-Jan-14,66.2,67.75,65,66.4,2274910.8
19-Jan-14,26.2,26.7,25.4,25.85,214916.8
19-Jan-14,6.95,6.95,6.35,6.45,803047.05
19-Jan-14,3207.8,3223.75,3173.45,3210.4,459860148.9
19-Jan-14,507,510.5,493.05,499.7,47997684.15
19-Jan-14,531.2,539.95,503.2,530.75,141500408.6
